*** Chicago (1107) ***
1.   Willis Tower, 442m
2.   Trump International Hotel & Tower, 423m
3.   Vista Tower, 363m
4.   875 North Michigan Avenue, 344m
5.   The Franklin - North Tower, 307m
6.   Two Prudential Plaza, 303m
7.   311 South Wacker Drive, 293m
8.   NEMA Chicago, 273m
9.   900 North Michigan Avenue, 265m
10.  Chase Tower, 265m
11.  Water Tower Place, 262m
12.  Aqua at Lakeshore East, 262m
13.  Park Tower, 257m
14.  One Bennett Park, 255m
15.  The Legacy at Millennium Park, 249m
16.  Bank of America Tower, 249m
17.  300 North LaSalle, 239m
18.  Three First National Plaza, 234m
19.  Grant Thornton Tower, 230m
20.  Blue Cross-Blue Shield Tower, 227m
21.  River Point, 223m
22.  Olympia Centre, 223m
23.  One Museum Park, 221m
24.  150 North Riverside, 221m
25.  AMA Plaza, 212m
26.  Waldorf Astoria Chicago, 209m
27.  111 South Wacker, 208m
28.  181 West Madison, 207m
29.  71 South Wacker, 207m
30.  One Magnificent Mile, 205m
31.  340 on the Park, 205m
32.  77 West Wacker Drive, 204m
33.  Wolf Point East Tower, 204m
34.  UBS Tower, 199m
35.  Richard J. Daley Center, 198m
36.  55 East Erie, 197m
37.  Lake Point Tower, 196m
38.  River East Center, 196m
39.  Grand Plaza Apartments, 195m
40.  155 North Wacker, 195m
41.  Leo Burnett Building, 194m
42.  The Heritage at Millennium Park, 192m
43.  NBC Tower, 191m
44.  353 North Clark, 190m
45.  Essex on the Park, 189m
46.  OneEleven, 187m
47.  Millennium Centre, 186m
48.  Chicago Place, 185m
49.  Chicago Board of Trade, 184m
50.  333 South Wabash, 183m
51.  One Prudential Plaza, 183m
52.  Heller International Tower, 183m
53.  Madison Plaza, 182m
54.  The Grant, 181m
55.  1000 Lake Shore Plaza, 180m
56.  The Clare, 179m
57.  Citigroup Center, 179m
58.  Marina City I, 179m
59.  Marina City II, 179m
60.  Optima Signature, 179m
61.  55 East Monroe, 178m
62.  Crain Communications Building, 177m
63.  North Pier Apartments, 177m
64.  Citadel Center, 177m
65.  The Fordham, 175m
66.  190 South LaSalle, 175m
67.  One South Dearborn, 174m
68.  Onterie Center, 174m
69.  Loews Chicago Hotel, 173m
70.  Chicago Temple Building, 173m
71.  CNA Center, 173m
72.  Palmolive Building, 172m
73.  Kluczynski Federal Building, 171m
74.  Huron Plaza, 171m
75.  Boeing International Headquarters, 171m
76.  The Parkshore, 169m
77.  North Harbor Tower, 169m
78.  Civic Opera Building, 169m
79.  Harbor Point, 169m
80.  Streeter Place, 169m
81.  Newberry Plaza, 169m
82.  Michigan Plaza South, 169m
83.  30 North LaSalle, 169m
84.  Pittsfield Building, 168m
85.  One South Wacker, 168m
86.  Park Millennium, 166m
87.  AMLI River North, 165m
