*** Dubai (1454) ***
1.   Burj Khalifa, 828m
2.   Marina 101, 425m
3.   Princess Tower, 413m
4.   23 Marina, 392m
5.   La Maison by HDS, 386m
6.   Elite Residence, 380m
7.   Uptown Tower, 370m
8.   The Address Boulevard, 370m
9.   Almas Tower, 360m
10.  Gevora Hotel, 356m
11.  Il Primo Tower 1, 356m
12.  JW Marriott Marquis Hotel Dubai Tower 1, 355m
13.  JW Marriott Marquis Hotel Dubai Tower 2, 355m
14.  Ciel Tower, 355m
15.  Emirates Tower One, 355m
16.  The Torch, 352m
17.  WOW Hotel & Hotel Apartments, 336m
18.  DAMAC Heights, 335m
19.  Rose Rayhaan by Rotana, 333m
20.  A Tower, 333m
21.  The Address Residence - Fountain Views III, 331m
22.  One Za'abeel Tower 1, 330m
23.  Al Yaqoub Tower, 328m
24.  The Index, 326m
25.  Burj Al Arab, 321m
26.  Blue Tower, 318m
27.  FIVE Jumeirah Village Dubai, 314m
28.  Ocean Heights, 310m
29.  Emirates Tower Two, 309m
30.  Amna Tower, 307m
31.  Noora Tower, 307m
32.  Cayan Tower, 306m
33.  The Address, 302m
34.  Al Wasl Tower, 302m
35.  Jumeirah Gate, 301m
36.  Emirates Crown, 296m
37.  Aykon City Tower A, 295m
38.  Millennium Hotel, 294m
39.  Sulafa Tower, 288m
40.  Millennium Tower, 285m
41.  Tubular Tower, 285m
42.  The Address Residence - Fountain Views I, 283m
43.  The Address Residence - Fountain Views II, 283m
44.  Al Hekma Tower, 282m
45.  ICD Brookfield Place, 282m
46.  Marina Pinnacle, 280m
47.  Boulevard Point, 280m
48.  D1 Tower, 278m
49.  Burj Vista Tower 1, 272m
50.  Radisson Royal Hotel Dubai, 269m
51.  21st Century Tower, 269m
52.  DAMAC Paramount Hotel & Residences, 268m
53.  DAMAC Towers by Paramount, Tower 1, 268m
54.  DAMAC Towers By Paramount, Tower 2, 268m
55.  DAMAC Towers by Paramount, Tower 3, 268m
56.  Aykon City Tower D, 267m
57.  Business Central Tower 1, 265m
58.  Business Central Tower 2, 265m
59.  U-Bora Tower 1, 263m
60.  The Address Residence Sky View Tower 1, 261m
61.  Vision Tower, 260m
62.  Meydan Beach Hotel, 258m
63.  Marina Gate II, 258m
64.  Dubai Marriott Harbour Hotel and Suites , 254m
65.  Conrad Dubai, 251m
66.  Paramount Tower Hotel & Residences, 250m
67.  Chelsea Tower, 250m
68.  Rolex Tower, 247m
69.  Al Fattan Tower, 245m
70.  Oasis Beach Tower, 245m
71.  Arenco Tower, 244m
72.  The Tower, 243m
73.  The Address Residence Sky View Tower 2, 237m
74.  Arady Office Tower, 237m
75.  Burj Daman, 235m
76.  Churchill Residence, 235m
77.  One Za'abeel Tower 2, 235m
78.  Park Place, 234m
79.  MAG 218 Tower, 232m
80.  Palm Tower, 232m
81.  Aykon City Tower B, 231m
82.  Vida Hotel and Residences - Dubai Marina Yacht Club, 230m
83.  ASPIN Tower, 226m
84.  Al Tayer Tower, 225m
85.  Jumeirah Living Marina Gate, 224m
86.  The Bay Gate, 221m
87.  Aykon City Tower C, 221m
88.  Angsana Hotel Tower, 221m
89.  Angsana Suites Tower, 221m
90.  Jumeirah Bay X2, 218m
91.  Arady Residential Tower, 216m
92.  Al Seef Tower, 215m
93.  Meera Tower, 213m
94.  Central Tower, 211m
95.  Grosvenor House The Residence, 210m
96.  Grosvenor House West Marina Beach, 210m
97.  Al Rostamani Maze Tower, 210m
98.  Executive Towers Building M, 210m
99.  Le Reve, 210m
100. Dubai Tower, 210m
101. Latifa Tower, 210m
102. Stella Maris, 209m
103. Marina Heights, 208m
104. The 118 , 208m
105. Tamani Hotel Marina, 207m
106. Marina Crown, 207m
107. Harbour Views Tower 1, 207m
108. Harbour Views Tower 2, 207m
109. Marina Gate I, 206m
110. Beach Tower, 205m
111. RP Heights, 204m
112. Nassima Tower, 204m
113. 48 Burj Gate, 203m
114. The Citadel, 201m
115. MBK Tower, 200m
116. Burj Al Salam, 197m
117. Al Bateen Residential Tower, 196m
118. Preatoni Tower, 196m
119. Shangri-La Hotel, 196m
120. Al Salam Tecom Tower, 195m
121. The Distinction, 195m
122. Saba Tower 4, 195m
123. Sama Tower, 194m
124. Tiara United Tower 1, 193m
125. Tiara United Tower 2, 193m
126. Royal Atlantis, 193m
127. The Address Dubai Mall, 192m
128. Duja Tower, 191m
129. The Signature, 190m
130. Executive Towers Building B, 190m
131. Horizon Tower, 190m
132. Platinum Tower, 190m
133. Dubai Jewel Tower, 190m
134. Sidra Tower, 187m
135. Al Sahab Tower I, 187m
136. Jumeirah Lake Terrace, 187m
137. Executive Tower K, 186m
138. 29 Boulevard Tower 2, 185m
139. 29 Boulevard Tower 1, 185m
140. Mesk Tower, 185m
141. Murjan Tower, 185m
142. Etisalat Tower 2, 185m
143. Capricorn Tower, 185m
144. Marina Terrace, 183m
145. Executive Tower H, 182m
146. Tiffany Tower, 182m
147. Bay Central 2, 180m
148. Mazaya Business Avenue 1, 180m
149. Mazaya Business Avenue 2, 180m
150. Mazaya Business Avenue 3, 180m
151. Botanica Tower, 179m
152. Al Seef Tower II, 179m
153. JBR Area B Tower B03 T01, 177m
154. Sadaf 4, 177m
155. Sofitel Dubai Jumeirah Beach, 177m
156. The Dome, 176m
157. Mohammed Ibrahim Tower, 175m
158. Media One Tower, 175m
159. Iris Bay, 175m
160. Cayan Cantara Branded Residences, 175m
161. Dusit Residence, 174m
162. H Office Tower, 174m
163. Dream Tower, 173m
164. The One at Jumeirah Village Circle, 172m
165. Churchill Executive, 172m
166. Escape Tower, 172m
167. Bahar 1, 171m
168. Single Business Tower, 170m
169. Executive Tower G, 170m
170. Executive Tower J, 170m
171. Executive Tower L, 170m
172. Burlington Tower, 170m
173. Boulevard Plaza 1, 168m
174. Jumeirah Business Center 1, 167m
175. Shatha Tower, 167m
176. Armada Tower 1, 167m
177. Dubai Creek Heights, 166m
178. Concorde Tower, 166m
179. Four Points by Sheraton, 166m
180. Liberty House, 166m
181. The Prism, 166m
182. Lakeshore Tower 1, 165m
183. Goldcrest Executive Tower, 165m
184. Al Kharbash Tower, 165m
185. Jumeirah Bay X1, 164m
186. Jumeirah Bay X3, 164m
187. Falcon Tower, 163m
188. Bay Central 3, 163m
189. Bahar 3, 161m
190. Ramada Plaza Jumeirah Beach, 161m
191. Swiss Tower, 161m
192. Sky Gardens, 160m
193. Shahla Tower, 160m
194. Al Seef Tower III, 160m
195. Tamweel Tower, 160m
196. Goldcrest Views 1, 159m
197. Bahar 5, 158m
198. Lake Point Tower, 158m
199. Al Saqr Business Tower, 158m
200. World Trade Center Residences, 158m
201. Prime Tower, 158m
202. Time Place, 158m
203. AG Tower, 158m
204. V3 Tower, 156m
205. MAG 214, 155m
206. Bay Central 1, 155m
207. Saeed Tower II, 155m
208. Shaiba Tower 1, 155m
209. Silverene Tower A, 153m
210. AU Tower, 153m
211. Dusit Thani Hotel, 153m
212. The Fairmont Dubai, 153m
213. Dubai Arch Tower, 153m
214. Laguna Tower, 152m
215. Dalma Tower, 152m
216. Al Habtoor Business Tower, 152m
217. Al Yassat Tower, 151m
218. Murjan 1, 151m
219. Rimal 1, 151m
220. Sadaf 1 & 2, 151m
221. Sadaf 8, 151m
222. The Icon Tower 1, 151m
223. The Icon Tower 2, 151m
224. Mashreq Bank Headquarters, 151m
225. Dubai Gate Tower 1, 151m
226. Cayan Cantara Hotel Apartments, 151m
227. Saba Tower 1, 150m
228. Armada Tower 2, 150m
229. Armada Tower 3, 150m
230. Saba Tower 2, 150m
231. Saba Tower 3, 150m
232. Park Lane Tower, 150m
233. Saeed Tower I, 150m
234. Bonnington Tower, 150m
235. World Trade Center, 149m
236. Volante, 149m
237. Sadaf 6 & 7, 149m
238. Jumeirah Business Center 2, 148m
239. Jumeirah Business Center 3, 148m
240. Jumeirah Business Center 4, 148m
241. Jumeirah Business Center 5, 148m
242. Green Lakes 2, 148m
243. LIWA Heights, 148m
244. BurJuman Centre, 148m
245. Silver Tower, 148m
246. Fortune Executive, 147m
247. Lake View, 146m
248. Paloma Tower, 146m
249. Goldcrest Views 2, 146m
250. Al Shera Tower, 146m
251. O2 Residence, 146m
252. Marina Tower, 145m
253. East South Ridge Tower 6, 145m
254. West South Ridge Tower 1, 145m
255.  One Business Bay, 143m
256. Pullman Jumeirah Lakes Towers - Hotel & Residence, 143m
257. H Hotel & Convention Center Hotel Tower, 143m
258. Boulevard Plaza 2, 141m
259. The Residences Tower 1, 140m
260. Dubai Gate 2 Tower, 140m
261. The Palladium, 140m
262. Indigo Tower, 140m
263. Shams 1, 139m
264. Fortune Tower, 139m
265. Wind Tower 1, 138m
266. Al Mass Tower, 138m
267. Wind Tower 2, 136m
268. Amwaj 4	, 136m
269. Global Lake View, 136m
270. Marina Mansions, 136m
271. Palace Tower 1, 135m
272. The Aspect Tower, 135m
273. Bayswater Omniyat Tower, 135m
274. Deira Tower, 135m
275. Emirates Financial Towers 1, 135m
276. Emirates Financial Towers 2, 135m
277. Shaiba Tower 2, 135m
278. The Regal Tower, 134m
279. The Lofts East Tower, 134m
280. The Lofts West Tower, 134m
281. The Imperial Residence A, 134m
282. The Imperial Residence B, 134m
283. One Lake Plaza, 134m
284. Ramada Downtown Dubai, 134m
285. The Oberoi Center, 134m
286. Burj Views Tower 1, 133m
287. Burj Views Tower 2, 133m
288. Burj Views Tower 3, 133m
289. Hyatt Regency, 133m
290. Murjan 5, 133m
291. Murjan 6, 133m
292. Rimal 3, 133m
293. Shams 2, 133m
294. Shams 4, 133m
295. Sofitel Dubai Downtown, 133m
296. Landmark Group Headquarters, 132m
297. Al Waleed Paradise Tower, 131m
298. Ghaya Residence, 131m
299. Green Lakes 1, 131m
300. Green Lakes 3, 131m
301. API World Tower, 130m
302. Al Attar Tower, 130m
303. Al Hawai Tower, 130m
304. The Point, 130m
305. Rimal 5, 130m
306. Lakeside Residence, 129m
307. Lillian Towers, 127m
308. Rimal 2, 126m
309. Sadaf 2, 126m
310. Al Meraikhi Tower, 125m
311. Union Tower, 125m
312. The Metropolis, 125m
313. Al Yass Tower, 124m
314. National Bank of Dubai Building, 124m
315. The Address Dubai Marina, 123m
316. Sadaf 5, 123m
317. Indigo Icon Tower, 122m
318. The Residences Tower 5, 122m
319. Silverene Tower B, 121m
320. Oasis Tower, 121m
321. Tameen House Office Building, 120m
322. Rimal 4, 120m
323. Rimal 6, 120m
324. Al Moosa Tower 2, 120m
325. Executive Tower F, 120m
326. B2B Tower, 120m
327. Sheik Essa Tower, 119m
328. Executive Tower E, 118m
329. Dubai Creek Tower, 117m
330. Khalid Al Attar Tower, 116m
331. Dubai Marina Tower, 116m
332. Damac Business Tower, 116m
333. The Residences Tower 3, 115m
334. Sahara Tower, 115m
335. XL Tower, 115m
336. Blakely Tower, 115m
337. Sanibel Tower, 115m
338.  Al Thuraya Tower 2, 114m
339. Executive Tower C, 114m
340. Bahar 2, 114m
341. Al Bateen Hotel Tower, 111m
342. Amwaj 3, 111m
343. Murjan 4, 111m
344. Habtoor Grand Hotel Tower 2, 108m
