*** Hong Kong (2107) ***
1.   International Commerce Centre, 484m
2.   Two International Finance Centre, 412m
3.   Central Plaza, 374m
4.   Bank of China Tower, 367m
5.   The Center, 346m
6.   Nina Tower, 320m
7.   One Island East, 298m
8.   Cheung Kong Centre, 283m
9.   Victoria Dockside, 274m
10.  The Cullinan I, 270m
11.  The Cullinan II, 270m
12.  The Masterpiece, 257m
13.  Sorrento 1, 256m
14.  Langham Place Office Tower, 255m
15.  Highcliff, 252m
16.  The Harbourside, 251m
17.  Lee Garden One, 240m
18.  Sorrento 2, 236m
19.  Harbourfront Landmark, 233m
20.  The Arch, 231m
21.  One Taikoo Place, 229m
22.  COSCO Tower, 228m
23.  The Belcher's Tower 5, 227m
24.  The Belcher's Tower 6, 227m
25.  Hopewell Centre, 222m
26.  The Belcher's Tower 1, 221m
27.  The Belcher's Tower 2, 221m
28.  Tregunter Tower III, 220m
29.  The Summit, 220m
30.  Grand Promenade Towers 2-3-5, 219m
31.  Sorrento 3, 218m
32.  LOHAS Park Le Prestige Tower B, 215m
33.  Sun Hung Kai Centre, 214m
34.  The Belcher's Tower 3, 214m
35.  The Belcher's Tower 8, 214m
36.  Shangri-La Hotel, 213m
37.  Victoria Towers I, 213m
38.  Victoria Towers II, 213m
39.  Victoria Towers III, 213m
40.  Shining Heights, 213m
41.  Sorrento 5, 212m
42.  Indi Home, 212m
43.  LOHAS Park The Capitol Oslo, 210m
44.  LOHAS Park The Capitol Whistler, 210m
45.  One International Finance Centre, 210m
46.  Grand Promenade Tower 1, 209m
47.  Grand Promenade Tower 6, 209m
48.  Metro Plaza Tower II, 209m
49.  Sorrento 6, 206m
50.  LOHAS Park The Capitol Madrid, 206m
51.  LOHAS Park The Capitol Milan, 206m
52.  Bellagio Tower 1-5, 206m
53.  Citibank Plaza 1, 206m
54.  May House, 206m
55.  Metro Town Tower 1, 205m
56.  Metro Town Tower 2, 205m
57.  Four Seasons Place, 205m
58.  Hysan Place, 204m
59.  Island Resort Towers 1 & 2, 202m
60.  Island Resort Towers 3 & 5, 202m
61.  Island Resort Towers 6 & 7, 202m
62.  Island Resort Towers 8 & 9, 202m
63.  China Online Centre, 201m
64.  LOHAS Park Le Prestige Tower A, 200m
65.  LOHAS Park Le Prestige Tower C, 200m
66.  LOHAS Park The Capitol Florence, 200m
67.  Conrad Hong Kong, 199m
68.  Queensway Government Office Building, 199m
69.  Le Point Tower 6, 198m
70.  Le Point Tower 7, 198m
71.  Bellagio Tower 6-9, 198m
72.  The Merton 1, 197m
73.  Wharf Cable Tower, 197m
74.  Aigburth, 196m
75.  Le Point Tower 10, 195m
76.  Le Point Tower 8, 195m
77.  Le Point Tower 9, 195m
78.  Vision City Tower 2, 195m
79.  Vision City Tower 3, 195m
80.  Vision City Tower 5, 195m
81.  NatWest Tower, Times Square, 194m
82.  Manhattan Hill 1-2, 193m
83.  Vision City Tower 1, 192m
84.  39 Conduit Road, 192m
85.  Banyan Garden 2, 191m
86.  Banyan Garden 6, 191m
87.  Banyan Garden 7, 191m
88.  The Merton 2, 189m
89.  The Centrium, 189m
90.  Metro Town Tower 3, 188m
91.  Metro Town Tower 5, 188m
92.  Exchange Square #1, 188m
93.  Exchange Square #2, 188m
94.  Oxford House Time Warner, 188m
95.  9 Queen's Road Central, 187m
96.  Millennium City 5, 187m
97.  Landmark East Tower 1, 187m
98.  Landmark East Tower 2, 187m
99.  Standard Chartered Bank, 187m
100. Festival City III Tower 5, 186m
101. Entertainment Building, 186m
102. Manhattan Hill 3, 186m
103. Manhattan Hill 5, 186m
104. Manhattan Hill 6, 186m
105. Lippo Tower, 186m
106. The Westpoint, 186m
107. Manhattan Heights, 185m
108. Sino Plaza, 185m
109. AIA Central, 185m
110. Festival City III Tower 1, 185m
111. Festival City III Tower 2, 185m
112. Festival City III Tower 3, 185m
113. Ocean Pointe, 184m
114. Cadogan, 183m
115. Vision City Tower 6, 183m
116. Banyan Garden 5, 183m
117. Branksome Crest, 182m
118. Three Pacific Place, 182m
119. Convention Plaza Office Tower, 181m
120. The Pavilia Bay Tower 1, 181m
121. Liberte 1, 181m
122. Liberte 2, 181m
123. Liberte 3, 181m
124. Immigration Tower, 181m
125. Revenue Tower, 181m
126. AIA Tower, 180m
127. Liberte 5, 180m
128. Liberte 6, 180m
129. The Merton 3, 180m
130. Banyan Garden 3, 180m
131. Hong Kong and Shanghai Banking Corporation Headquarters, 179m
132. Jardine House, 179m
133. China Resources Building, 178m
134. Grand Waterfront 1-5, 177m
135. Grand Waterfront 6, 177m
136. The Oakhill, 177m
137. Azura, 177m
138. Far East Finance Centre, 176m
139. One Kowloon, 176m
140. Billionaire Royale, 176m
141. Oscar by the Sea Tower 5, 175m
142. Vianni Cove 2, 175m
143. Vianni Cove 3, 175m
144. Enterprise Square 3, 175m
145. Tavistock II, 175m
146. Ocean Shores Tower 1-3, 174m
147. Ocean Shores Tower 15, 174m
148. Ocean Shores Tower 16-17, 174m
149. Ocean Shores Tower 5, 174m
150. Ocean Shores Tower 6, 174m
151. Ocean Shores Tower 7, 174m
152. Ocean Shores Tower 8, 174m
153. Ocean Shores Tower 9-10, 174m
154. The Pavilia Bay Tower 2, 174m
155. Metro Plaza Tower I, 174m
156. Enterprise Square 5 / MegaBOX, 173m
157. Queen's Garden, 173m
158. The ONE, 172m
159. The Dynasty 1, 172m
160. The Dynasty 2, 172m
161. Peregrine Tower, Lippo Centre, 172m
162. Dorset House/PCCW Tower, 172m
163. Vianni Cove 1, 172m
164. Ocean Shores Tower 11-13, 171m
165. Metro Harbourview 1, 171m
166. Metro Harbourview 10, 171m
167. Metro Harbourview 2, 171m
168. Metro Harbourview 3, 171m
169. Metro Harbourview 4, 171m
170. Metro Harbourview 5, 171m
171. Metro Harbourview 6, 171m
172. Metro Harbourview 7, 171m
173. Metro Harbourview 8, 171m
174. Metro Harbourview 9, 171m
175. Festival City I Tower 2, 170m
176. Festival City I Tower 3, 170m
177. L'Hotel Nina Tower, 170m
178. Arezzo, 170m
179. Festival City II Tower 5, 170m
180. Festival City II Tower 3, 170m
181. Langham Place Hotel, 170m
182. Albany Cove 6, 170m
183. Albany Cove 7, 170m
184. Albany Cove 8, 170m
185. Caribbean Coast 10, 170m
186. Caribbean Coast 11, 170m
187. Caribbean Coast 12, 170m
188. Caribbean Coast 13, 170m
189. Caribbean Coast 15, 170m
190. Caribbean Coast 9, 170m
191. Monterey Cove 2, 170m
192. Monterey Cove 3, 170m
193. Monterey Cove 5, 170m
194. Oscar by the Sea Tower 8, 169m
195. Summit Terrace 3, 169m
196. Summit Terrace 5, 169m
197. Shell Tower, Times Square, 169m
198. The Avenue Phase 2, T2, 169m
199. The Avenue Phase 2, T3, 169m
200. Residence Oasis 1, 168m
201. Residence Oasis 2, 168m
202. Residence Oasis 3, 168m
203. The Grandiose 1, 168m
204. The Grandiose 2, 168m
205. The Grandiose 3, 168m
206. Hong Kong Plaza, 168m
207. Park Central 1, 168m
208. Park Central 12, 168m
209. Park Central 13, 168m
210. Park Central 2, 168m
211. Park Central 3, 168m
212. Park Central 5, 168m
213. Park Central 6, 168m
214. Oscar by the Sea Tower 6, 168m
215. Oscar by the Sea Tower 7, 168m
216. Festival City I Tower 1, 167m
217. Festival City I Tower 5, 167m
218. The Latitude Tower 6, 167m
219. The Latitude Tower 7, 167m
220. The Latitude Tower 8, 167m
221. The Latitude Tower 1, 167m
222. The Latitude Tower 2, 167m
223. Festival City II Tower 1, 167m
224. Festival City II Tower 2, 167m
225. Asia Pacific Finance Tower, 167m
226. Tierra Verde Tower 10-12, 167m
227. The Palazzo, 166m
228. Summit Terrace 2, 166m
229. La Cite Noble Tower 3, 166m
230. Park Central 11, 165m
231. The Serenade Tower 1, 165m
232. The Serenade Tower 2, 165m
233. Residence Oasis 5, 165m
234. Residence Oasis 6, 165m
