*** London (366) ***
1.   The Shard, 306m
2.   Twentytwo, 278m
3.   One Canada Square, 236m
4.   Landmark Pinnacle, 233m
5.   Salesforce Tower, 230m
6.   The Leadenhall Building, 224m
7.   Newfoundland, 220m
8.   Valiant Tower, 214m
9.   One Park Drive, 205m
10.  25 Canada Square, 201m
11.  8 Canada Square, 200m
12.  City Tower, 199m
13.  The Scalpel, 190m
14.  Wardian East Tower, 187m
15.  Tower 42, 183m
16.  The Madison, 182m
17.  The Tower, One St George Wharf, 181m
18.  30 St Mary Axe, 180m
19.  100 Bishopsgate, 172m
20.  AYKON London One, 170m
21.  Wardian West Tower, 168m
22.  One Blackfriars, 165m
23.  Principal Tower , 161m
24.  The Broadgate Tower, 161m
25.  20 Fenchurch Street, 160m
26.  River Tower, 160m
27.  One Churchill Place, 156m
28.  25 Bank Street, 153m
29.  40 Bank Street, 153m
30.  10 Upper Bank Street, 151m
31.  South Bank Tower, 150m
32.  Carrara Tower, 150m
33.  Arena Tower, 149m
34.  10 Park Drive, 149m
35.  Castilla, 149m
36.  Guy's Tower, 149m
37.  Pan Peninsula East Tower, 148m
38.  Strata, 148m
39.  1 Bank Street, 145m
40.  Harbour Central-Maine Tower, 144m
41.  Manhattan Loft Gardens, 142m
42.  Imperial West Tower, 138m
43.  Landmark East Tower, 136m
44.  Providence Tower, 136m
45.  Pan Pacific Hotel, 135m
46.  101 George Street, 135m
47.  Atlas, 135m
48.  Pinnacle Apartments, 134m
49.  Stratford Halo, 133m
50.  Keybridge Lofts, 133m
51.  Valencia Tower, 130m
52.  The GRID Building, 128m
53.  CityPoint, 127m
54.  The Stage, 126m
55.  Nine Elms Point, Albert Point, 126m
56.  Two Fifty One, 125m
57.  Harbour Central-Block C, 125m
58.  The Willis Building, 125m
59.  Euston Tower, 124m
60.  One Crown Place South, 123m
61.  One The Elephant, 123m
62.  Cromwell Tower, 123m
63.  Lauderdale Tower, 123m
64.  Shakespeare Tower, 123m
65.  Chelsea Waterfront-West Tower, 122m
66.  One Casson Square, 122m
67.  Pan Peninsula West Tower, 122m
68.  Vauxhall Sky Gardens, 120m
69.  Novotel Canary Wharf, 119m
70.  Millbank Tower, 119m
71.  25 Churchill Place, 118m
72.  Aviva Tower, 118m
73.  Centre Point, 117m
74.  Stratosphere Tower, 117m
75.  Chronicle Tower, 115m
76.  East Village Site N08 Tower 2, 113m
77.  The Heron, 112m
78.  Chapter London Spitalfields, 112m
79.  Capital Towers-Sky View Tower, 112m
80.  Dollar Bay, 109m
81.  No. 1 West India Quay, 108m
82.  Shell Centre, 107m
83.  One Crown Place North, 106m
84.  Ontario Tower, 106m
85.  30 Casson Square, 105m
86.  33 Canada Square, 105m
87.  Shoreditch Highgate Hotel, 105m
88.  Pioneer Point Tower 2, 105m
89.  99 Bishopsgate, 104m
90.  125 Old Broad Street, 103m
91.  Stratford Central-Legacy Tower, 103m
92.  Empress State Building, 102m
93.  Upper Riverside-Building 5, 102m
94.  West End Gate-Tower A, 102m
95.  West Grove-The Highwood, 102m
96.  Woodberry Down-Skyline, 101m
97.  Portland House, 101m
98.  The London Hilton on Park Lane, 101m
99.  Angel Court, 101m
100. 4 Casson Square, 100m
101. East Village Site N08 Tower 1, 100m
102. Trellick Tower, 98m
103. The Atlas, 96m
104. Shard Place, 96m
105. Upper Riverside-Building 4, 96m
106. Canaletto, 96m
107. The Waterman, 96m
108. The Dumont, 96m
109. Ropemaker, 95m
110. Cassia Point, 95m
111. The Lloyd's Building, 95m
112. Lincoln Plaza-Franklin Tower, 95m
113. Landmark West Tower, 95m
114. Vauxhall Square-Miles Street South, 95m
115. Harbour Central-Block A, 94m
116. Upper Riverside-Building 3, 94m
117. Knightsbridge Barracks, 94m
118. Holiday Inn Kensington Forum, 94m
119. Stratford Plaza, 93m
120. Kew Eye, 93m
121. 206-214 High Street, 93m
122. Conquest Tower, 92m
123. 20 Gracechurch, 92m
124. London Hilton Metropole, 92m
125. Duncan House, 91m
126. Lombard Wharf, 91m
127. 200 Aldersgate Street, 91m
128. 70 St. Mary Axe, 90m
129. Stratford Riverside, 90m
130. Nine Elms Point, Doulton Point, 90m
131. Harbour Central-Block B2, 89m
132. 11 Mapleton Crescent, 89m
133. International Quarter Site S5, 88m
134. City Island-Caledonia House, 88m
135. Ontario Point, 87m
136. Arora Tower, 87m
137. Nova Victoria-South, 87m
138. The Royal London Hospital, 86m
139. 240 Blackfriars Road, 86m
140. Hawfinch House, 85m
141. Merano Residences, 85m
142. Chelsea Waterfront East Tower, 85m
143. The Corniche, Building 2, 85m
144. London Television Centre, 85m
145. Balfron Tower, 84m
146. Altitude Aldgate, 84m
147. Unite Stratford One, 84m
148. The Liberty Building, 83m
149. Apex House, 83m
150. NEO Bankside Building C, 82m
151. One Croydon, 82m
152. Athena Court, 82m
153. Distillery Tower, 82m
154. The Eagle, 82m
