*** Melbourne (548) ***
1.   Australia 108, 317m
2.   Eureka Tower, 297m
3.   Aurora Melbourne Central, 270m
4.   West Side Place Tower A, 270m
5.   120 Collins Street, 265m
6.   101 Collins Street, 260m
7.   Prima Pearl Apartments, 254m
8.   Rialto Towers, 251m
9.   Queens Place North Tower, 250m
10.  Premier Tower, 249m
11.  Victoria One, 247m
12.  Swanston Central, 237m
13.  Melbourne Square Tower 1, 231m
14.  Vision Apartments, 229m
15.  568 Collins Street, 224m
16.  Bourke Place, 224m
17.  Light House, 218m
18.  Telstra Corporate Building, 218m
19.  380 Lonsdale Street, 218m
20.  West Side Place Tower B, 211m
21.  Melbourne Central, 211m
22.  Freshwater Place Residential Tower, 205m
23.  Eq. Tower, 202m
24.  Empire Melbourne, 198m
25.  Melbourne Grand, 198m
26.  Collins House, 190m
27.  Sofitel Hotel - Collins Place, 188m
28.  ANZ Tower - Collins Place, 188m
29.  Abode318, 187m
30.  80 Collins Street (South Tower), 187m
31.  80 Collins Street (Old Tower), 182m
32.  Melbourne Square Tower 2, 179m
33.  Capitol Grand, 178m
34.  Scape on Franklin, 175m
35.  MY80, 173m
36.  Avant, 172m
37.  Victoria Police Centre Tower 2, 171m
38.  Manhattan @ Upper West Side, 170m
39.  405 Bourke Street, 170m
40.  385 Bourke Street, 169m
41.  Zen Apartments, 168m
42.  Platinum Tower One, 167m
43.  530 Collins Street, 167m
44.  Southbank Place, 166m
45.  Casselden Place, 166m
46.  The Fifth, 165m
47.  Olderfleet, 165m
48.  Ernst & Young Plaza, 165m
49.  35 Spring Street, 164m
50.  SX Stage 1, 163m
51.  Royal Domain Tower, 162m
52.  ANZ World Headquarters, 162m
53.  National Bank House, 161m
54.  2 Southbank Boulevard, 161m
55.  Verve 501 Swanston Tower, 159m
56.  Upper West Side Tower 2 (Madison), 156m
57.  Paragon, 155m
58.  Shadow Play, 153m
59.  Southbank Central, 153m
60.  Optus Centre, 153m
61.  Crown Towers, 152m
62.  140 William Street, 152m
63.  Urban Workshop Lonsdale, 150m
64.  Fulton Lane Tower 1, 148m
65.  Wesley Place, 148m
66.  Palladium Tower, 147m
67.  Upper West Side Tower 1 (Hudson), 147m
68.  Eporo Tower, 147m
69.  Scape Melbourne, 146m
70.  Collins Arch, 146m
71.  KPMG Collins Square, 145m
72.  Melbourne One, 144m
73.  Argus Centre, 144m
74.  QV Residential, 143m
75.  Melbourne Quarter East Tower, 143m
76.  360 Collins Street, 142m
77.  Australis Apartments, 138m
78.  La Trobe Tower, 137m
79.  Marina Tower, 135m
80.  Yarra's Edge 5, 134m
81.  1 Spring Street, 132m
82.  Atira La Trobe Street, 131m
83.  The Spencer, 131m
84.  IBM Australia, 131m
85.  459 Collins Street, 131m
86.  Southbank Grand, 130m
87.  200 Queen Street, 130m
88.  Bank Apartments, 130m
89.  333 Collins Street, 129m
90.  WRAP Residences, 129m
91.  Victoria Point, 128m
