*** Nanning (663) ***
1.   Skyfame Center Landmark Tower, 420m
2.   Guangxi China Resources Tower, 403m
3.   Nanning Logan Century 1, 381m
4.   Guangxi Financial Investment Center, 330m
5.   Guangxi Finance Plaza, 321m
6.   Jiuzhou International Tower, 318m
7.   Guangxi Wealth Financial Center, 311m
8.   Logan International Headquarters Tower 1, 278m
9.   Diwang International Commerce Center, 276m
10.  Hangyang Sino Plaza 1, 232m
11.  Hangyang Sino Plaza 3, 232m
12.  Sankee Plaza, 231m
13.  KWG International Plaza, 228m
14.  Hangyang Sino Plaza 2, 226m
15.  Liyuan Skyline City, 222m
16.  Tsingtao Haier Union Square Tower 1, 220m
17.  Park Lane Manor 5, 220m
18.  Park Lane Manor 6, 220m
19.  Science and Technology Park Headquarters C3, 220m
20.  Nanhu Mingdu Plaza, 218m
21.  Qingxiu Wanda Mansion 1, 216m
22.  Qingxiu Wanda Mansion 4, 216m
23.  Yuda Group Headquarters Tower 1, 210m
24.  Greenland Center Tower 8, 210m
25.  Triumph One #1, 203m
26.  Triumph One #2, 203m
27.  Triumph One #3, 200m
28.  Triumph One #4, 200m
29.  Qingxiu Wanda Plaza Office Tower 1, 200m
30.  Qingxiu Wanda Plaza Office Tower 2, 200m
31.  Qingxiu Wanda Plaza Office Tower 3, 200m
32.  Qingxiu Wanda Mansion 2, 195m
33.  Logan International Headquarters Tower 2, 191m
34.  Nanning Logan Century 2, 182m
35.  Xianggang Jie #5-1, 179m
36.  Xianggang Jie #5-2, 179m
37.  Vanke City South Area #17, 179m
38.  Guangxi International Trade Center Main Tower, 177m
39.  Nanning Taiping Financial Building, 173m
40.  Vanke City South Area #18, 169m
41.  Park Lane Manor 7, 169m
42.  Park Lane Manor 8, 169m
43.  Park Lane Manor 9, 169m
44.  Nanning No. 2 Telecom Hinge Building, 168m
45.  Park Lane Manor 1, 165m
46.  Park Lane Manor 2, 165m
47.  Park Lane Manor 3, 165m
48.  Park Lane Manor 4, 165m
49.  Vanke City South Area #15, 164m
