*** New York City (2932) ***
1.    One World Trade Center, 541m
2.    Central Park Tower, 472m
3.    111 West 57th Street, 435m
4.    One Vanderbilt, 427m
5.    432 Park Avenue, 426m
6.    30 Hudson Yards, 387m
7.    Empire State Building, 381m
8.    Bank of America Tower, 366m
9.    45 Broad Street, 366m
10.   3 World Trade Center, 329m
11.   9 DeKalb Avenue, 325m
12.   53 West 53rd, 320m
13.   Chrysler Building, 319m
14.   New York Times Tower, 319m
15.   The Spiral, 314m
16.   50 Hudson Yards, 308m
17.   35 Hudson Yards, 308m
18.   One57, 306m
19.   One Manhattan West, 303m
20.   4 World Trade Center, 298m
21.   220 Central Park South, 290m
22.   70 Pine, 290m
23.   3 Hudson Boulevard , 287m
24.   Two Manhattan West, 285m
25.   The Trump Building, 283m
26.   30 Park Place, 282m
27.   601 Lexington, 279m
28.   15 Hudson Yards, 279m
29.   125 Greenwich Street, 278m
30.   10 Hudson Yards, 268m
31.   Eight Spruce Street, 265m
32.   Trump World Tower, 262m
33.   425 Park Avenue, 262m
34.   Comcast Building, 259m
35.   One Manhattan Square, 258m
36.   56 Leonard , 250m
37.   CitySpire, 248m
38.   28 Liberty, 248m
39.   4 Times Square, 247m
40.   MetLife Building, 246m
41.   Bloomberg Tower, 246m
42.   126 Madison Avenue, 245m
43.   The Centrale, 245m
44.   111 Murray Street, 241m
45.   Woolworth Building, 241m
46.   50 West, 239m
47.   520 Park Avenue, 238m
48.   1 Worldwide Plaza, 237m
49.   Skyline Tower, 237m
50.   55 Hudson Yards, 237m
51.   Madison Square Park Tower, 237m
52.   50 West 66th Street, 236m
53.   19 Dutch Street, 231m
54.   Carnegie Hall Tower, 231m
55.   383 Madison Avenue, 230m
56.   Queens Plaza Park, 230m
57.   130 William Street, 230m
58.   Courtyard & Residence Inn Manhattan/Central Park, 230m
59.   AXA Center, 229m
60.   One Penn Plaza, 229m
61.   1251 Avenue of the Americas, 229m
62.   Time Warner Center North Tower, 228m
63.   Time Warner Center South Tower, 228m
64.   Goldman Sachs Headquarters, 228m
65.   60 Wall Street, 227m
66.   One Astor Plaza, 227m
67.   7 World Trade Center, 226m
68.   One Liberty Plaza, 226m
69.   Twenty Exchange, 226m
70.   Three World Financial Center, 225m
71.   ARO, 225m
72.   1540 Broadway, 223m
73.   3 Manhattan West, 222m
74.   Times Square Tower, 221m
75.   Metropolitan Tower, 218m
76.   252 East 57th Street, 218m
77.   100 East 53rd Street, 217m
78.   JPMorgan Chase Tower, 216m
79.   General Motors Building, 215m
80.   25 Park Row, 214m
81.   Metropolitan Life Tower, 213m
82.   500 Fifth Avenue, 212m
83.   Brooklyn Point, 212m
84.   Americas Tower, 211m
85.   Solow Building, 210m
86.   Marine Midland Building, 210m
87.   55 Water Street, 209m
88.   277 Park Avenue, 209m
89.   The Beekman Hotel & Residences, 209m
90.   1585 Broadway, 209m
91.   Random House Tower, 208m
92.   Four Seasons Hotel, 208m
93.   Sky, 206m
94.   McGraw-Hill Building, 205m
95.   One Grand Central Place, 205m
96.   One Court Square, 205m
97.   Barclay Tower, 205m
98.   277 Fifth Avenue, 205m
99.   Paramount Plaza, 204m
100.  Seaport Residences, 204m
101.  200 Amsterdam Avenue, 204m
102.  45 Park Place, 203m
103.  Trump Tower, 202m
104.  One Wall Street, 199m
105.  Silver Towers East, 199m
106.  Silver Towers West, 199m
107.  599 Lexington Avenue, 199m
108.  712 5th Avenue, 198m
109.  Chanin Building, 198m
110.  245 Park Avenue, 198m
111.  550 Madison Avenue, 197m
112.  Tower 28, 197m
113.  Two World Financial Center, 197m
114.  1095 Avenue of the Americas, 196m
115.  570 Lexington Avenue, 196m
116.  1 New York Plaza, 195m
117.  1 MiMA Tower, 195m
118.  1 Dag Hammarskjold Plaza, 194m
119.  345 Park Avenue, 193m
120.  Mercantile Building, 193m
121.  Langham Place, 193m
122.  W New York Downtown Hotel & Residences, 192m
123.  Grace Plaza, 192m
124.  Home Insurance Plaza, 192m
125.  101 Park Avenue, 192m
126.  Central Park Place, 191m
127.  888 7th Avenue, 191m
128.  11 Hoyt Street, 191m
129.  1345 Avenue of the Americas, 190m
130.  Waldorf Astoria New York, 190m
131.  Avalon Willoughby Square, 190m
132.  Trump Palace, 190m
133.  One Madison Park, 189m
134.  Olympic Tower, 189m
135.  425 5th Avenue, 188m
136.  919 3rd Avenue, 188m
137.  New York Life Building, 188m
138.  750 Seventh Avenue, 187m
139.  The Epic, 187m
140.  Tower 49&reg;, 187m
141.  Eventi, 187m
142.  555Ten, 187m
143.  Credit Lyonnais Building, 186m
144.  Baccarat Hotel & Residences, 185m
145.  The Orion, 184m
146.  590 Madison Avenue, 184m
147.  The Hub, 184m
148.  250 West 55th Street, 183m
149.  Eleven Times Square, 183m
150.  1166 Avenue of the Americas, 183m
151.  Hawthorn Park, 182m
152.  Eagle Lofts, 182m
153.  Hearst Tower, 182m
154.  3 Lincoln Center, 181m
155.  Celanese Building, 180m
156.  The London NYC, 180m
157.  388 Bridge Street, 180m
158.  Thurgood Marshall U.S. Court House, 180m
159.  Museum Tower, 179m
160.  Sky House, 179m
161.  The Millenium Hilton, 179m
162.  Time-Life Building, 179m
163.  Jacob K. Javits Federal Building, 179m
164.  W Times Square, 178m
165.  Trump International Hotel & Tower, 178m
166.  3 Jackson Park, 177m
167.  Stevens Tower, 177m
168.  Municipal Building, 177m
169.  520 Madison Avenue, 176m
170.  One World Financial Center, 176m
171.  Merchandise Mart, 176m
172.  5 Times Square, 175m
173.  300 Madison Avenue, 175m
174.  Lehman Building, 175m
175.  32 Old Slip, 175m
176.  Park Avenue Plaza, 175m
177.  New York Marriott Marquis Hotel, 175m
178.  299 Park Avenue, 175m
179.  Socony Mobil Building, 174m
180.  1290 Avenue of the Americas, 174m
181.  780 3rd Avenue, 174m
182.  600 3rd Avenue, 174m
183.  The Ashland, 173m
184.  450 Lexington Avenue, 173m
185.  Paramount Tower, 173m
186.  230 Park Avenue, 172m
187.  New York Palace Hotel, 172m
188.  30 Broad Street, 171m
189.  623 Fifth Avenue, 171m
190.  Park Avenue Tower, 171m
191.  Nelson Tower, 171m
192.  Hotel Sherry-Netherland, 171m
193.  South Park Tower, 170m
194.  100 United Nations Plaza, 170m
195.  Continental Can Building, 170m
196.  222 East 44th Street, 170m
197.  3 Park Avenue, 169m
198.  Reuters Building, 169m
199.  330 Madison Avenue, 169m
200.  Equitable Building, 169m
201.  Tower 111, 169m
202.  Continental Center, 169m
203.  Instrata Nomad, 169m
204.  1133 Avenue of the Americas, 168m
205.  2 Grand Central Tower, 168m
206.  Unysys Building, 168m
207.  Downtown by Philippe Starck, 168m
208.  AT&T Long Lines Building, 168m
209.  Hyatt Times Square, 168m
210.  The Biltmore, 168m
211.  The Tower at 15 Central Park West, 168m
212.  50 United Nations Plaza, 167m
213.  Bankers Trust West Annex, 167m
214.  The Corinthian, 166m
215.  Millennium Tower, 166m
216.  Transportation Building, 166m
217.  The Galleria, 166m
218.  2 Gold Street, 166m
219.  220 Riverside Boulevard At Trump Place, 165m
220.  17 State Street, 165m
221.  Grand Central Plaza, 165m
222.  1 Brooklyn Bridge Plaza, 165m
223.  Ritz Hotel Tower, 165m
224.  American Copper Buildings West Tower, 165m
225.  1285 Avenue of the Americas, 165m
226.  14 Wall, 165m
227.  Lefcourt Colonial Building, 164m
228.  Tribeca Tower, 164m
229.  The Encore, 162m
230.  1700 Broadway, 162m
