*** Sydney (505) ***
1.   Crown Sydney Hotel and Resort, 271m
2.   Circular Quay Tower, 263m
3.   Chifley Tower, 244m
4.   Citigroup Centre, 243m
5.   Deutsche Bank Place, 240m
6.   Sydney Greenland Centre, 236m
7.   World Tower, 230m
8.   MLC Centre, 228m
9.   Governor Phillip Tower, 227m
10.  Ernst & Young Tower at Latitude, 222m
11.  Aurora Place, 219m
12.  International Towers Sydney Tower 1, 217m
13.  Quay Quarter Tower, 216m
14.  Suncorp Place, 193m
15.  ANZ Tower, 191m
16.  Century Tower, 183m
17.  Grosvenor Place, 180m
18.  International Towers Sydney Tower 2, 178m
19.  Castlereagh Centre, 173m
20.  Meriton Tower, 170m
21.  Australia Square Tower, 170m
22.  Metro Grand Residences, 170m
23.  International Towers Sydney Tower 3, 169m
24.  The Peak, 168m
25.  1 O`Connell Street, 166m
26.  Westpac Place, 166m
27.  201 Elizabeth Street, 165m
28.  Gateway Plaza, 164m
29.  HSBC Centre, 162m
30.  1 Denison Street, 159m
31.  The Cove, 158m
32.  Hordern Towers, 156m
33.  The EY Centre, 155m
34.  Metro Spire Residences, 155m
35.  Angel Place, 152m
36.  Sydney Central, 152m
37.  Lumiere, 152m
38.  100 Mount Street, 152m
39.  The Landmark, 152m
40.  85 Castlereagh Street, 151m
41.   Eighty-Eight by JQZ Tower 1, 149m
42.  Colonial State Bank, 148m
43.  Governor MacQuarie Tower, 145m
44.  Commsec Tower, 145m
45.  Horizon Apartments, 144m
46.  Rhodes Central Tower A, 144m
47.  Quay West Apartments, 142m
48.  Swissotel Sydney, 141m
49.  8 Chifley, 140m
50.  Quest World Square Apartments, 140m
51.  Telstra Plaza, 140m
52.  Elan Apartments, 139m
53.  60 Martin Place, 139m
54.  1 Bligh Street, 139m
55.  Bankers Trust Tower, 138m
56.  Rialto Tower, 137m
57.  420 George Street, 136m
58.  Park Regis City Centre, 136m
59.  Era, 136m
60.  Darling North, 136m
61.  Darling One, 136m
62.  Victoria Towers, 135m
63.  York & George, 135m
64.  Wynyard Place, 134m
65.  Met Centre, 134m
66.  St Leonards Square (The Jackson), 133m
67.  St Martins Tower, 133m
