*** Tokyo (991) ***
1.   Toranomon Hills, 256m
2.   Midtown Tower, 248m
3.   Tokyo Metropolitan Government Building, 243m
4.   Sunshine 60 Tower, 240m
5.   NTT DoCoMo Yoyogi Building, 240m
6.   Roppongi Hills Mori Tower, 238m
7.   Opera City Tower, 234m
8.   Shinjuku Park Tower, 233m
9.   Sumitomo Roppongi Grand Tower, 230m
10.  Shibuya Scramble Square, 228m
11.  Shinjuku Mitsui Building, 225m
12.  Shinjuku Center Building, 223m
13.  St. Luke's Tower, 221m
14.  Shiodome City Center, 216m
15.  Dentsu Headquarters Building, 213m
16.  Shinjuku Sumitomo Building, 210m
17.  Shinjuku Nomura Building, 209m
18.  The Parkhouse Nishi Shinjuku Tower 60, 209m
19.  Ark Hills Sengokuyama Mori Tower, 207m
20.  Akasaka Intercity AIR, 205m
21.  GranTokyo North Tower, 205m
22.  GranTokyo South Tower, 205m
23.  Mode Gakuen Cocoon Tower, 204m
24.  Izumi Garden Tower, 201m
25.  Japan Post Tower, 200m
26.  Sompo Japan Head Office Building, 200m
27.  The Yomiuri Shimbun Building, 200m
28.  The Otemachi Tower, 200m
29.  Shin-Marunouchi Building, 198m
30.  Sumitomo Fudosan Shinjuku Grand Tower, 195m
31.  Harumi Island Triton Square Tower X, 195m
32.  Sanno Park Tower, 194m
33.  Nippon Television Tower, 193m
34.  Nihonbashi Mitsui Tower, 192m
35.  Kachidoki View Tower, 192m
36.  The Tokyo Towers Mid Tower, 192m
37.  The Tokyo Towers Sea Tower, 192m
38.  Tokyo Midtown Hibiya, 192m
39.  Tomihisa Cross Comfort Tower, 191m
40.  Acty Shiodome, 190m
41.  Shinjuku I-Land Tower, 190m
42.  Toshima Ecomusee Town, 189m
43.  Cerulean Tower, 188m
44.  Capital Gate Place, 187m
45.  Atago Green Hills Mori Tower, 187m
46.  Shinjuku Oak Tower, 184m
47.  Owl Tower, 183m
48.  Shibuya Hikarie, 182m
49.  Tokyo Nihonbashi Tower, 182m
50.  Century Park Tower, 180m
51.  Park City Toyosu Building A, 180m
52.  Proud Tower Shinonome Canal Court, 180m
53.  NEC Supertower, 180m
54.  JA Building, 180m
55.  Shibuya Stream, 180m
56.  Tokyo Garden Terrace Kioicho - Kioi Tower, 180m
57.  Sumitomo Fudosan Mita Twin Building West, 179m
58.  Akasaka Biz Tower, 179m
59.  Marunouchi Building, 179m
60.  Otemachi 2-Chome 1st Class Urban Redevelopment Project Building A, 179m
61.  Kachidoki The Tower, 179m
62.  W-Comfort Towers East, 178m
63.  Keio Plaza North Building, 178m
64.  Marunouchi Trust Building Main Tower, 178m
65.  A2 Tower 3 Harumi, 177m
66.  A3 Tower 3 Harumi, 177m
67.  Otemachi Financial City South Tower, 177m
68.  Kasumigaseki Common Gate West Building, 176m
69.  Harumi Island Triton Square Tower Y, 175m
70.  The Parkhouse Harumi Towers Tiaro Residence, 175m
71.  Tokyo Shiodome Building , 173m
72.  Shiodome Media Tower, 173m
73.  Park Axis Aoyama 1-chome Tower, 172m
74.  Royal Park Shiodome Tower, 172m
75.  City Towers Toyosu North Tower, 171m
76.   Kyobashi EDOGRAND, 170m
77.  Shibaura Island Air Tower, 170m
78.  Park Court Akasaka Hinokicho The Tower, 170m
79.  Marunouchi Park Building, 170m
80.  JT Building, 170m
81.  The Parkhouse Harumi Towers Krono Residence, 170m
82.  Bay City Harumi Sky Link Tower, 169m
83.  Shibaura Island Grove Tower, 169m
84.  Otemachi Financial City Grand Cube, 168m
85.  JR Shinjuku Miraina Tower, 168m
86.  Central Park La Tour Shinjuku, 168m
87.  Shibaura Island Bloom Tower, 167m
88.  Sapia Tower, 167m
89.  Capital Mark Tower, 167m
90.  Toshiba Building, 167m
91.  Yebisu Garden Place Tower, 167m
92.  City Towers Toyosu South Tower, 167m
93.  Kita Shinjuku 2 Chome Building, 166m
94.  Toyosu Center Building, 165m
95.  Harumi View Tower, 165m
96.  Twin Parks Left Wing, 165m
97.  Twin Parks Right Wing, 165m
98.  Naka-Meguro Atlas Tower, 165m
99.  Otemachi 2-Chome 1st Class Urban Redevelopment Project Building B, 165m
100. Waterras Tower, 165m
101. KDDI Building, 165m
102. Tokyo Building, 164m
103. Tokyo Metropolitan Government Building II, 163m
104. Shirogane 6-Chome Redevelopment, 163m
105. Akasaka Tower Residence, 162m
106. Shibaura Island Cape Tower, 161m
107. Shinjuku Maynds Tower, 161m
108. Nihon Seimei Marunouchi Building, 160m
109. Concieria Nishi-Shinjuku Tower's West, 160m
110. Tornare Nihonbashi Hamacho Tower, 160m
111. Apartment Tower Kachidoki, 160m
112. Shiba 3-Chome Coop Building, 159m
113. Brillia Tower Tokyo, 159m
114. Roppongi Hills Residential Building B, 159m
115. Roppongi Hills Residential Building C, 159m
116. Prudential Tower, 158m
117. Tokyo World Trade Center, 158m
118. Joyama Project, 158m
119. Sky Tree East, 158m
120. K-Tower, 158m
121. Shiroyama JT Trust Tower, 158m
122. Park Court Akasaka The Tower, 157m
123. Atago Green Hills Forest Tower, 157m
124. Kasumigaseki Common Gate East Building, 157m
125. Kasumigaseki Building, 156m
126. NTT DoCoMo Sumida Building, 156m
127. Shinagawa Season Terrace, 155m
128. Plaza Tower Kachidoki, 155m
129. The Toyosu Tower, 155m
130. Tokyo Dome Hotel, 155m
131. Harumi Island Triton Square Tower Z, 155m
132. Nikkei Building, 155m
133. SKYZ Tower & Garden, 154m
134. Otemachi Financial City North Tower, 154m
135. Hilltop Tower, 154m
136. Toranomon Towers Residence, 154m
137. W-Comfort Towers West, 153m
138. City Towers Toyosu The Symbol, 153m
139. Station Garden Tower, 153m
140. Ark Hills Mori Building, 153m
141. Park Tower Gran Sky, 153m
142. Garden Air Tower, 153m
143. Futakotamagawa Rise Tower & Residence East, 151m
144. Odakyu Southern Tower, 151m
145. Shiba-Koen First Building, 151m
146. Kudan Dai 3 Complex Chiyoda Prefecture Office, 151m
147. Air Rise Tower, 151m
148. The Roppongi Tokyo Club Residence, 150m
149. Sumitomo Mitsui Banking Corporation East Tower, 150m
150. Iidabashi Grand Bloom, 150m
151. JR East Japan Building, 150m
152. Marunouchi Eiraku Building, 150m
153. Granpark Tower, 150m
154. Otemachi Park Building, 150m
155. Iidabashi Grand Bloom, 150m
156. Pacific Century Plaza, 150m
157. Sumitomo Realty Iidabashi First Tower, 150m
158. Park Court Chiyoda Fujimi The Tower, 149m
159. Park Court Chiyoda Fujimi Tower, 149m
160. Shinagawa East One Tower, 149m
161. Shinagawa Grand Central Tower, 148m
162. Akihabara Fuji Soft ABC Building, 148m
163. Mitsubishi UFJ Trust & Banking Corporate Head Office, 148m
164. Taiyo Life Shinagawa Building, 148m
165. Marunouchi Kitaguchi Building, 147m
166. Toyosu Center Building Annex, 147m
167. Mitsubishi Heavy Industries Building, 147m
168. Meiji Yasuda Life Building, 147m
169. St. Luke's International Residences, 146m
170. Tokyo Sankei New Building, 146m
171. Bunkyō Civic Center, 146m
172. Kabukiza Tower, 146m
173. NTT DoCoMo Shinagawa Building, 145m
174. River City 21 East Towers II, 145m
175. Hotel New Otani Tokyo, Garden Tower, 144m
176. Shinagawa Intercity Tower A, 144m
177. Canon S Tower, 144m
178. Iino Building, 143m
179. Shinagawa V-Tower, 143m
180. Shinagawa Prince Hotel New Tower, 143m
181. Mizuho Bank Headquarters, 142m
182. Akihabara Dai Building, 142m
183. East Core Towing Nibankan, 142m
184. Akasaka Park Building, 141m
185. World City Breeze Tower, 140m
186. World City Capital Tower, 140m
187. Shinagawa Intercity Tower B, 140m
188. Shinagawa Intercity Tower C, 140m
189. River City 21 Skylight Tower, 139m
190. World City Aqua Tower, 139m
191. The Tower Grandia, 139m
192. Keio Plaza Hotel South Building, 139m
193. Tokyo Times Tower, 138m
194. Roppongi T-CUBE, 138m
195. Venasis Kanamachi Tower Residence, 138m
196. Otemachi Nomura Building, 138m
197. Futakotamagawa Rise 2a, 137m
198. Cosmopolis Shinagawa, 137m
199. Nippon Express Headquarters, 137m
200. Tekko Building, 135m
201. Hotel New Otani Garden Court, 135m
202. Akasaka Intercity, 135m
203. Riverside Sumida Center, 134m
204. Nakano-Sakaue Sun Bright Twin, 134m
205. Moon Island Tower	, 134m
206. Shinjuku NS Building, 134m
207. Shiodome Building, 134m
208. Tokyo Tech Tower, 133m
209. Tokyo ANA Tower, 133m
210. NBF Osaki Building, 133m
211. Sumitomo Realty Shiba-Koen Tower, 133m
212. NTT Data Shinagawa Building, 132m
213. River City 21 Riverpoint Tower , 132m
214. Shibuya Cross Tower, 131m
215. City Tower Shinjuku Shintoshin, 130m
216. Shinjuku Kokusai Building - Hilton Tokyo, 130m
217. Tomin Tower Shinonome, 130m
218. Imperial Hotel Imperial Tower, 129m
219. River City 21 East Towers I, 128m
220. Ochanomizu Sola City, 127m
221. NTT Shinjuku Head Office Building, 127m
222. Shiodome Sumitomo Building, 126m
223. M&D Tower, 126m
224. Tokyo Square Garden, 124m
225. Shinjuku L Tower, 124m
226. Takeda Global Headquarters, 124m
227. FUJI TV Headquarters, 123m
228. Shinjuku Monolith Building, 123m
229. STEC Information Building, 123m
230. Boissonade Tower, 123m
231. The Towers Daiba East, 122m
232. The Towers Daiba West, 122m
233. Keidanren Kaikan, 122m
234. Ginza Mitsui Building, 121m
235. Coredo Nihombashi, 121m
236. Tokyu Capitol Tower, 120m
237. Sumitomo Fudosan Shiodome Hamarikyu Building, 120m
238. Toyosu Canal Wharf Tower East, 120m
239. Toyosu Canal Wharf Tower West, 120m
240. Panasonic Electric Works Tokyo Headquarters Building, 120m
241. Shin-Marunouchi Center Building, 120m
