*** Toronto (934) ***
1.   The One, 306m
2.   First Canadian Place, 298m
3.   The St. Regis Toronto, 277m
4.   Scotia Tower, 275m
5.   Aura at College Park, 272m
6.   Brookfield Place, 261m
7.   One Bloor Street East, 257m
8.   Commerce Court West, 239m
9.   CIBC Square I, 238m
10.  Harbour Plaza Residences East, 237m
11.  ÏCE Condominiums at York Centre 2, 234m
12.  Sugar Wharf Tower D, 230m
13.  Harbour Plaza Residences West, 228m
14.  Eau Du Soleil Sky Tower, 228m
15.  Ten York, 224m
16.  TD Tower, 223m
17.  Sugar Wharf Tower E, 218m
18.  The Prestige at Pinnacle One Yonge, 216m
19.  Bay-Adelaide Centre, 215m
20.  Shangri-La Hotel Toronto, 214m
21.  Ritz-Carlton Hotel & Residences, 210m
22.  Massey Tower, 208m
23.  The Residences of 488 University Avenue, 207m
24.  Bay-Wellington Tower, 207m
25.  L Tower, 205m
26.  Four Seasons Private Residences West Tower, 204m
27.  ÏCE Condominiums at York Centre 1, 202m
28.  YC Condominiums, 202m
29.  88 Scott, 198m
30.  Bay Adelaide Centre East Tower, 196m
31.  E Condos South, 196m
32.  Wellesley on the Park, 194m
33.  22|21 Yonge, 192m
34.  EY Tower, 188m
35.  19 Duncan Street, 186m
36.  RBC Centre, 185m
37.  CASA II, 184m
38.  U Condominiums - East Tower, 184m
39.  1 Yorkville, 183m
40.  TD North Tower, 183m
41.  Maple Leaf Square North Tower, 181m
42.  Eau Du Soleil Water Tower, 181m
43.  CASA III, 180m
44.  Rosedale on Bloor, 179m
45.  INDX Condominiums , 178m
46.  Vita on the Lake, 177m
47.  1 King West, 176m
48.  The Well Office Tower, 174m
49.  One York Street, 174m
50.  Success Tower 2, 173m
51.  Royal Bank Plaza South, 173m
52.  Maple Leaf Square South Tower, 171m
53.  The Selby Condos, 171m
54.  Teahouse Condominiums South, 170m
55.  Hullmark Centre I, 170m
56.  Lago, 168m
57.  44 Charles Street West, 166m
58.  Karma, 166m
59.  Quantum 2, 165m
60.  Theatre Park, 165m
61.  Residences of College Park I, 163m
62.  Burano, 163m
63.  Success Tower 1, 162m
64.  X2, 161m
65.  FIVE, 161m
66.  The Uptown Residences, 158m
67.  Three Hundred, 158m
68.  Lighthouse Tower Condominium, 158m
69.  Grid Condos, 157m
70.  16 York, 157m
71.  Southcore Financial Centre Delta Hotel, 157m
72.  Festival Tower, 157m
73.  Dundas Square Gardens, 156m
74.  The PJ Condos, 156m
75.  King Blue by Greenland North Tower, 156m
76.  87 Peter, 154m
77.  U Condominiums - West Tower, 154m
78.  Yonge + Rich, 154m
79.  TD South Tower, 154m
80.  The Well Residential One, 153m
81.  Westlake Village 1, 153m
82.  35 Mariner, 153m
83.  Montage, 153m
84.  Beyond the Sea Star Tower, 152m
85.  Chaz Yorkville Condos, 151m
86.  The 250, 151m
87.  Monde, 150m
88.  Two Bloor West, 149m
89.  X Condominium, 149m
90.  West One, 148m
91.  Simcoe Place, 148m
92.  Via Bloor East Tower, 148m
93.  The Clover on Yonge, 148m
94.  CASA, 148m
95.  Residences of College Park II, 147m
96.  Bisha Hotel & Residences, 147m
97.  Westlake Encore, 146m
98.  Pace Condominiums, 146m
99.  Exchange Tower, 146m
100. Residences at RCMI, 145m
101. Islington Terrace, 145m
102. Commerce Court North, 145m
103. The Pinnacle on Adelaide, 144m
104. Simpson Tower, 144m
105. Spire, 143m
106. Cinema Tower Condominiums, 143m
107. Cadillac Fairview Tower, 142m
108. Emerald Park East, 142m
109. Murano South Tower, 141m
110. King Blue by Greenland South Tower, 140m
111. RBC WaterPark Place, 140m
112. Pantages Tower, 140m
113. The Britt, 139m
114. The Livmore, 139m
115. Stanley, 138m
116. Bloor Promenade, 138m
117. Palace Pier, 138m
118. Palace Place, 138m
119. Via Bloor West Tower, 138m
120. Gibson Square North, 138m
121. Gibson Square South, 137m
122. Alto at Atria, 137m
123. Couture, 137m
124. Oxford Tower, 137m
125. Clear Spirit Condominiums, 136m
126. Key West, 136m
127. Southcore Bremner Tower, 136m
128. The Well Residential Two, 135m
129. Sheraton Centre Hotel, 135m
130. Two Bloor East, 134m
131. Royal York Hotel, 134m
132. Ernst & Young Tower, 133m
133. N1/N2, 133m
134. 150 Redpath, 132m
135. Concord Cityplace Parade Tower S, 132m
136. The Met, 132m
137. Ocean Club Condominiums, 131m
138. Studio2 on Richmond, 131m
139. Encore at Equinox, 131m
140. Empire Tower, 130m
141. Peter Street Condominiums, 130m
142. Crystal Blu, 129m
143. Leaside Towers East, 129m
144. Leaside Towers West, 129m
145. Dynamic Funds Tower, 129m
146. Picasso on Richmond, 128m
147. 561 Sherbourne, 128m
148. TD West Tower, 128m
149. Metro Hall, 128m
150. 18 Yonge Condominiums, 127m
151. Solaris East at Metrogate, 127m
152. Solaris West at Metrogate, 127m
153. Westin Harbour Castle South, 127m
154. Quartz, 127m
155. Marriott Hotel/Plaza Two Apartments, 126m
156. Verve, 126m
157. Emerald City I, 126m
158. Quantum, 126m
159. Telus House, 126m
160. Luna Vista, 125m
161. Sun Life Financial Centre East Tower, 125m
162. Cumberland at Yorkville Plaza, 125m
163. Beacon Condos, 125m
164. TCHC, 124m
165. Yonge-Eglinton Centre I, 124m
166. Hullmark Centre II, 124m
167. Pinnacle Centre Tower A, 124m
168. M5V, 124m
169. Charlie Condos, 123m
170. E Condos North, 123m
171. 10 Navy Wharf Court, 122m
172. Tableau Condominiums, 122m
173. The Bond, 122m
174. Nautilus, 122m
175. Velocity at the Square, 122m
176. 411 Church, 122m
177. Park Nuvo, 122m
178. The Gooderham, 122m
179. 777 Bay Street, 121m
180. The Madison West, 121m
181. 155 Redpath, 120m
182. 55 & 65 Harbour Square, 120m
183. Equinox West, 120m
184. Munich Re Centre, 120m
185. Neptune South, 120m
186. Spectra, 119m
187. The Milan Condominium, 119m
188. Alter, 118m
189. Ultra at Heron`s Hill, 118m
190. Waterclub East Tower, 118m
191. Waterclub South Tower, 118m
192. Backstage On The Esplanade, 118m
193. 33 Harbour Square, 118m
194. The Pinnacle, 118m
195. Nestle Building, 118m
196. LCBO Tower at Sugar Wharf, 118m
197. The Peter Gilgan Centre for Research and Learning, 118m
198. Number One York Quay South, 118m
199. PwC Tower, 118m
200. 18 Yorkville, 117m
201. Nicholas Residences, 117m
202. Equinox East, 117m
203. 5 Mariner Terrace, 117m
204. Apex West, 117m
205. Royal Pinnacle, 117m
206. Concord Cityplace Parade Tower V, 116m
207. City Lights on Broadway I, 116m
208. City Lights on Broadway II, 116m
209. 1001 Bay, 115m
210. Bank of Nova Scotia, 115m
211. Number One York Quay North, 115m
212. King Charlotte Condos, 115m
213. Waterparkcity, 114m
214. Bloorvista, 114m
215. The 500 Sherbourne, 114m
216. The Chrysler East Tower, 114m
217. The Chrysler West Tower, 114m
218. The Mercer, 113m
219. Residences of the World Trade Centre North East Tower, 113m
220. Murano North Tower, 113m
